"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"8861","PARC ELEGANCE","TELOK KURAU ROAD","Apartment","15","OCR","Freehold","Resale","1","535000","-","398","Strata","01 to 05","1343","May-2017"
"8862","AURALIS","EAST COAST ROAD","Apartment","15","OCR","Freehold","Resale","1","640000","-","495","Strata","01 to 05","1293","May-2017"
"8863","RIVEREDGE","SAMPAN PLACE","Condominium","15","RCR","99 yrs lease commencing from 2004","Resale","1","2250000","-","1679","Strata","06 to 10","1340","May-2017"
"8864","SKY@ELEVEN","THOMSON LANE","Condominium","11","CCR","Freehold","Resale","1","4200000","-","2713","Strata","21 to 25","1548","May-2017"
"8865","EVELYN MANSIONS","EVELYN ROAD","Apartment","11","CCR","Freehold","Resale","1","1150000","-","797","Strata","01 to 05","1444","May-2017"
"8866","THE MEYERISE","MEYER ROAD","Condominium","15","RCR","Freehold","Resale","1","2676000","-","1281","Strata","21 to 25","2089","May-2017"
"8867","VILLA MARINA","JALAN SEMPADAN","Condominium","15","OCR","99 yrs lease commencing from 1995","Resale","1","1155000","-","1281","Strata","01 to 05","902","May-2017"
"8868","THE MAKENA","MEYER ROAD","Condominium","15","RCR","Freehold","Resale","1","2100000","-","1507","Strata","16 to 20","1394","May-2017"
"8869","EUHABITAT","JALAN EUNOS","Condominium","14","OCR","99 yrs lease commencing from 2010","Resale","1","650000","-","538","Strata","01 to 05","1208","May-2017"
"8870","HILLCREST ARCADIA","ARCADIA ROAD","Condominium","11","CCR","99 yrs lease commencing from 1975","Resale","1","2300000","-","2530","Strata","11 to 15","909","May-2017"
"8871","ASTORIA PARK","LORONG MYDIN","Condominium","14","OCR","99 yrs lease commencing from 1993","Resale","1","1000000","-","958","Strata","01 to 05","1044","May-2017"
